evidence_id,request_id,source_id,claim,excerpt,entity,topic,date,confidence,credibility,recency_score,duplicate_flag,contradiction_flag,validation
ev-00360,req-0227,src-00960,Investment activity increased in United States,DEMO evidence excerpt: investment activity increased in united states based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Vestas,market growth,2024-06-12,0.74,63,59,no,no,pass
ev-00361,req-0113,src-01669,Operational efficiency is emerging as a value lever in India,DEMO evidence excerpt: operational efficiency is emerging as a value lever in india based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Siemens,working capital,2025-11-24,0.9,67,90,no,no,review
ev-00362,req-0206,src-00733,Customer behavior is changing in Japan,DEMO evidence excerpt: customer behavior is changing in japan based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Fortinet,market size,2024-12-05,0.75,93,94,no,no,pass
ev-00363,req-0351,src-00409,Market growth is accelerating in United States,DEMO evidence excerpt: market growth is accelerating in united states based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Siemens,working capital,2026-01-04,0.76,73,97,no,yes,pass
ev-00364,req-0098,src-01109,The evidence indicates a potential value-leakage theme in United Kingdom,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in united kingdom based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Intel,supply chain,2025-10-11,0.75,81,95,no,no,pass
ev-00365,req-0207,src-00187,Customer behavior is changing in Europe,DEMO evidence excerpt: customer behavior is changing in europe based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Samsung,investment trends,2024-07-27,0.96,66,68,no,no,review
ev-00366,req-0131,src-00687,Market growth is accelerating in Global,DEMO evidence excerpt: market growth is accelerating in global based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,JPMorgan Chase,market size,2025-03-31,0.63,76,71,no,no,review
ev-00367,req-0188,src-01861,Customer behavior is changing in United Kingdom,DEMO evidence excerpt: customer behavior is changing in united kingdom based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,P&G,competitor movement,2024-12-20,0.67,72,68,yes,no,review
ev-00368,req-0328,src-00262,Regulatory requirements are tightening in India,DEMO evidence excerpt: regulatory requirements are tightening in india based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,FedEx,working capital,2024-07-30,0.84,60,97,no,yes,pass
ev-00369,req-0442,src-00463,Regulatory requirements are tightening in India,DEMO evidence excerpt: regulatory requirements are tightening in india based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Philips,investment trends,2024-02-22,0.86,91,73,yes,yes,pass
ev-00370,req-0128,src-01459,Technology adoption is expanding in United States,DEMO evidence excerpt: technology adoption is expanding in united states based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Samsung,market size,2025-12-18,0.92,69,93,no,no,pass
ev-00371,req-0115,src-00632,Pricing pressure is increasing in United States,DEMO evidence excerpt: pricing pressure is increasing in united states based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,OpenAI,working capital,2024-12-31,0.9,60,96,yes,no,pass
ev-00372,req-0008,src-01305,Demand is shifting toward premium offerings in Australia,DEMO evidence excerpt: demand is shifting toward premium offerings in australia based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,NTPC,market size,2025-04-26,0.73,93,80,no,no,pass
ev-00373,req-0378,src-00516,Pricing pressure is increasing in Japan,DEMO evidence excerpt: pricing pressure is increasing in japan based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,GE HealthCare,product launches,2026-01-20,0.7,60,83,no,no,review
ev-00374,req-0176,src-00353,Customer behavior is changing in Southeast Asia,DEMO evidence excerpt: customer behavior is changing in southeast asia based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,OpenAI,market size,2026-06-02,0.74,92,71,no,no,pass
ev-00375,req-0388,src-00998,Customer behavior is changing in India,DEMO evidence excerpt: customer behavior is changing in india based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Flipkart,customer behavior,2024-10-05,0.62,65,68,no,no,review
ev-00376,req-0286,src-00512,Regulatory requirements are tightening in Europe,DEMO evidence excerpt: regulatory requirements are tightening in europe based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Flipkart,risk & exposure,2024-12-26,0.59,64,90,yes,yes,review
ev-00377,req-0031,src-01113,Customer behavior is changing in Southeast Asia,DEMO evidence excerpt: customer behavior is changing in southeast asia based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Meta,competitor movement,2026-07-29,0.95,94,86,no,yes,pass
ev-00378,req-0265,src-00293,Technology adoption is expanding in Global,DEMO evidence excerpt: technology adoption is expanding in global based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Samsung,investment trends,2024-08-13,0.81,73,75,no,no,pass
ev-00379,req-0243,src-01633,Operational efficiency is emerging as a value lever in United States,DEMO evidence excerpt: operational efficiency is emerging as a value lever in united states based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,GE HealthCare,risk & exposure,2026-04-05,0.77,95,58,no,yes,pass
ev-00380,req-0284,src-01613,Pricing pressure is increasing in United Kingdom,DEMO evidence excerpt: pricing pressure is increasing in united kingdom based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Bharti Airtel,working capital,2024-01-09,0.77,89,93,no,no,pass
ev-00381,req-0355,src-01575,Competitor announced a new partnership in Middle East,DEMO evidence excerpt: competitor announced a new partnership in middle east based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,UPS,product launches,2024-01-21,0.85,66,86,yes,yes,pass
ev-00382,req-0067,src-01154,Pricing pressure is increasing in Southeast Asia,DEMO evidence excerpt: pricing pressure is increasing in southeast asia based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,NVIDIA,competitor movement,2024-01-04,0.98,78,89,yes,no,pass
ev-00383,req-0348,src-01202,Competitor announced a new partnership in Europe,DEMO evidence excerpt: competitor announced a new partnership in europe based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,AT&T,market growth,2025-01-26,0.67,99,81,no,no,pass
ev-00384,req-0373,src-00684,Investment activity increased in Australia,DEMO evidence excerpt: investment activity increased in australia based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Vestas,technology adoption,2026-02-10,0.93,97,58,yes,no,pass
ev-00385,req-0295,src-00462,The evidence indicates a potential value-leakage theme in Europe,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in europe based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Maersk,risk & exposure,2024-04-22,0.65,65,99,yes,no,pass
ev-00386,req-0061,src-00458,The evidence indicates a potential value-leakage theme in Middle East,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in middle east based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Mahindra,pricing & demand,2025-02-14,0.67,89,98,no,no,pass
ev-00387,req-0340,src-01682,Demand is shifting toward premium offerings in Southeast Asia,DEMO evidence excerpt: demand is shifting toward premium offerings in southeast asia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Unilever,pricing & demand,2025-09-14,0.69,94,56,yes,no,review
ev-00388,req-0092,src-00216,Customer behavior is changing in India,DEMO evidence excerpt: customer behavior is changing in india based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Hyundai,investment trends,2026-03-26,0.59,71,91,no,no,review
ev-00389,req-0193,src-00931,Regulatory requirements are tightening in Australia,DEMO evidence excerpt: regulatory requirements are tightening in australia based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Google,technology adoption,2026-07-04,0.61,72,60,no,no,review
ev-00390,req-0119,src-01413,Competitor announced a new partnership in Southeast Asia,DEMO evidence excerpt: competitor announced a new partnership in southeast asia based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Tesla,pricing & demand,2026-05-19,0.66,76,75,no,no,pass
ev-00391,req-0462,src-01156,Supply constraints remain a monitored risk in Southeast Asia,DEMO evidence excerpt: supply constraints remain a monitored risk in southeast asia based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,IBM,market growth,2025-04-16,0.83,85,58,no,no,pass
ev-00392,req-0496,src-01005,Demand is shifting toward premium offerings in Southeast Asia,DEMO evidence excerpt: demand is shifting toward premium offerings in southeast asia based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Fortinet,regulation,2024-12-31,0.95,98,70,yes,yes,pass
ev-00393,req-0097,src-00693,Demand is shifting toward premium offerings in Australia,DEMO evidence excerpt: demand is shifting toward premium offerings in australia based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,JPMorgan Chase,customer behavior,2024-07-29,0.89,72,76,yes,no,pass
ev-00394,req-0048,src-01614,Customer behavior is changing in Middle East,DEMO evidence excerpt: customer behavior is changing in middle east based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,DP World,partnerships,2025-01-06,0.76,70,82,yes,no,pass
ev-00395,req-0231,src-00128,Supply constraints remain a monitored risk in Global,DEMO evidence excerpt: supply constraints remain a monitored risk in global based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,PepsiCo,market growth,2024-12-14,0.63,79,90,no,no,pass
ev-00396,req-0406,src-00694,Supply constraints remain a monitored risk in India,DEMO evidence excerpt: supply constraints remain a monitored risk in india based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,DHL,risk & exposure,2026-08-06,0.97,66,92,no,no,pass
ev-00397,req-0378,src-00516,Market growth is accelerating in Japan,DEMO evidence excerpt: market growth is accelerating in japan based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Siemens Healthineers,market growth,2026-01-20,0.81,79,61,no,no,pass
ev-00398,req-0471,src-00378,Technology adoption is expanding in Europe,DEMO evidence excerpt: technology adoption is expanding in europe based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,AMD,supply chain,2024-04-03,0.6,71,91,no,no,review
ev-00399,req-0425,src-00919,The evidence indicates a potential value-leakage theme in United Kingdom,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in united kingdom based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Adani Green,working capital,2024-08-02,0.88,77,62,no,no,pass
ev-00400,req-0471,src-00523,Investment activity increased in Europe,DEMO evidence excerpt: investment activity increased in europe based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,AMD,investment trends,2024-11-05,0.73,66,91,no,no,pass
ev-00401,req-0205,src-00952,Market growth is accelerating in Global,DEMO evidence excerpt: market growth is accelerating in global based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Coca-Cola,pricing & demand,2026-05-12,0.88,93,94,yes,no,pass
ev-00402,req-0358,src-01837,The evidence indicates a potential value-leakage theme in United States,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in united states based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Toyota,pricing & demand,2026-04-26,0.91,73,82,no,no,pass
ev-00403,req-0155,src-01546,Market growth is accelerating in United States,DEMO evidence excerpt: market growth is accelerating in united states based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Tata Motors,operational efficiency,2026-06-27,0.81,77,89,no,no,pass
ev-00404,req-0096,src-01242,Customer behavior is changing in Middle East,DEMO evidence excerpt: customer behavior is changing in middle east based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Palo Alto Networks,market size,2024-08-14,0.67,96,72,no,no,review
ev-00405,req-0384,src-01696,Pricing pressure is increasing in Canada,DEMO evidence excerpt: pricing pressure is increasing in canada based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Cisco,investment trends,2024-09-01,0.91,85,68,yes,no,pass
ev-00406,req-0260,src-01902,Demand is shifting toward premium offerings in United States,DEMO evidence excerpt: demand is shifting toward premium offerings in united states based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,IBM,market growth,2026-07-28,0.64,97,82,no,no,pass
ev-00407,req-0324,src-01108,Supply constraints remain a monitored risk in United Kingdom,DEMO evidence excerpt: supply constraints remain a monitored risk in united kingdom based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Adani Green,regulation,2024-01-12,0.95,91,65,no,no,pass
ev-00408,req-0323,src-01131,Market growth is accelerating in United Kingdom,DEMO evidence excerpt: market growth is accelerating in united kingdom based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Volkswagen,market size,2025-08-03,0.81,99,59,yes,no,pass
ev-00409,req-0351,src-00028,Investment activity increased in United States,DEMO evidence excerpt: investment activity increased in united states based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Rockwell Automation,pricing & demand,2024-04-13,0.7,65,91,no,no,review
ev-00410,req-0140,src-00290,Market growth is accelerating in Australia,DEMO evidence excerpt: market growth is accelerating in australia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,NTPC,regulation,2024-02-22,0.64,91,82,no,yes,pass
ev-00411,req-0097,src-00693,Regulatory requirements are tightening in Australia,DEMO evidence excerpt: regulatory requirements are tightening in australia based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,ICICI Bank,regulation,2024-07-29,0.7,88,58,no,no,review
ev-00412,req-0337,src-00895,Regulatory requirements are tightening in Canada,DEMO evidence excerpt: regulatory requirements are tightening in canada based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Google,regulation,2024-06-12,0.89,99,57,no,no,pass
ev-00413,req-0015,src-01425,Market growth is accelerating in United States,DEMO evidence excerpt: market growth is accelerating in united states based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Amazon,supply chain,2025-07-28,0.88,64,57,no,yes,pass
ev-00414,req-0471,src-00268,The evidence indicates a potential value-leakage theme in Europe,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in europe based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,NVIDIA,competitor movement,2024-10-29,0.83,62,70,no,yes,pass
ev-00415,req-0056,src-01709,Working-capital exposure is concentrated in selected segments in Southeast Asia,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in southeast asia based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,NVIDIA,working capital,2025-06-21,0.59,68,92,no,no,review
ev-00416,req-0142,src-00092,Supply constraints remain a monitored risk in United States,DEMO evidence excerpt: supply constraints remain a monitored risk in united states based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Abbott,market size,2025-01-27,0.88,94,72,no,no,pass
ev-00417,req-0305,src-01713,Market growth is accelerating in Canada,DEMO evidence excerpt: market growth is accelerating in canada based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Rockwell Automation,partnerships,2024-03-16,0.64,62,96,yes,no,review
ev-00418,req-0119,src-01214,Supply constraints remain a monitored risk in Southeast Asia,DEMO evidence excerpt: supply constraints remain a monitored risk in southeast asia based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Toyota,regulation,2025-06-15,0.75,66,78,no,yes,review
ev-00419,req-0417,src-00003,Regulatory requirements are tightening in United States,DEMO evidence excerpt: regulatory requirements are tightening in united states based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Anthropic,investment trends,2025-05-01,0.67,62,63,no,no,pass
ev-00420,req-0145,src-00999,Technology adoption is expanding in Australia,DEMO evidence excerpt: technology adoption is expanding in australia based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Reliance Jio,value leakage,2025-11-07,0.73,80,68,no,no,pass
ev-00421,req-0320,src-01887,Market growth is accelerating in United Kingdom,DEMO evidence excerpt: market growth is accelerating in united kingdom based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Verizon,partnerships,2025-04-23,0.64,64,93,no,yes,pass
ev-00422,req-0317,src-00448,Customer behavior is changing in Japan,DEMO evidence excerpt: customer behavior is changing in japan based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Google,product launches,2025-09-11,0.73,89,90,yes,yes,pass
ev-00423,req-0071,src-00847,Pricing pressure is increasing in India,DEMO evidence excerpt: pricing pressure is increasing in india based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Google Cloud,product launches,2025-07-19,0.94,89,61,no,no,pass
ev-00424,req-0252,src-01262,Technology adoption is expanding in Europe,DEMO evidence excerpt: technology adoption is expanding in europe based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Abbott,partnerships,2024-08-19,0.73,90,80,no,no,pass
ev-00425,req-0386,src-01376,Customer behavior is changing in Global,DEMO evidence excerpt: customer behavior is changing in global based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Google,customer behavior,2025-08-07,0.79,94,99,no,yes,pass
ev-00426,req-0030,src-01543,Investment activity increased in Europe,DEMO evidence excerpt: investment activity increased in europe based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Google,product launches,2026-02-22,0.77,81,80,no,yes,pass
ev-00427,req-0432,src-00737,Market growth is accelerating in Europe,DEMO evidence excerpt: market growth is accelerating in europe based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,PhonePe,product launches,2026-04-06,0.78,77,95,no,yes,pass
ev-00428,req-0007,src-00926,Pricing pressure is increasing in Japan,DEMO evidence excerpt: pricing pressure is increasing in japan based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,GE HealthCare,market growth,2025-05-01,0.59,69,97,no,no,pass
ev-00429,req-0351,src-00954,Customer behavior is changing in United States,DEMO evidence excerpt: customer behavior is changing in united states based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Schneider Electric,value leakage,2026-04-16,0.79,71,74,yes,no,pass
ev-00430,req-0256,src-01668,Pricing pressure is increasing in Southeast Asia,DEMO evidence excerpt: pricing pressure is increasing in southeast asia based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Hyundai,technology adoption,2024-02-23,0.89,74,63,no,no,pass
ev-00431,req-0025,src-00807,Customer behavior is changing in Australia,DEMO evidence excerpt: customer behavior is changing in australia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,AMD,supply chain,2024-09-30,0.73,79,74,yes,yes,pass
ev-00432,req-0488,src-01170,Competitor announced a new partnership in United States,DEMO evidence excerpt: competitor announced a new partnership in united states based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,P&G,risk & exposure,2026-04-08,0.72,78,70,no,yes,pass
ev-00433,req-0118,src-00944,Regulatory requirements are tightening in Australia,DEMO evidence excerpt: regulatory requirements are tightening in australia based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Amazon,investment trends,2025-01-11,0.92,86,61,yes,no,pass
ev-00434,req-0384,src-01364,Regulatory requirements are tightening in Canada,DEMO evidence excerpt: regulatory requirements are tightening in canada based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,CrowdStrike,value leakage,2025-07-02,0.94,68,90,no,yes,review
ev-00435,req-0452,src-00579,Supply constraints remain a monitored risk in India,DEMO evidence excerpt: supply constraints remain a monitored risk in india based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Hyundai,pricing & demand,2025-04-22,0.91,80,62,no,no,pass
ev-00436,req-0215,src-00316,Technology adoption is expanding in Middle East,DEMO evidence excerpt: technology adoption is expanding in middle east based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Schneider Electric,competitor movement,2025-12-04,0.64,94,74,no,no,pass
ev-00437,req-0194,src-00880,Investment activity increased in India,DEMO evidence excerpt: investment activity increased in india based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,IBM,market growth,2024-12-26,0.77,62,62,no,yes,review
ev-00438,req-0030,src-01543,Market growth is accelerating in Europe,DEMO evidence excerpt: market growth is accelerating in europe based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Anthropic,competitor movement,2026-02-22,0.86,86,90,no,no,pass
ev-00439,req-0077,src-00008,Competitor announced a new partnership in Southeast Asia,DEMO evidence excerpt: competitor announced a new partnership in southeast asia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Toyota,working capital,2025-08-29,0.73,69,76,no,no,pass
ev-00440,req-0134,src-01385,Supply constraints remain a monitored risk in Europe,DEMO evidence excerpt: supply constraints remain a monitored risk in europe based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Google Cloud,regulation,2025-08-04,0.66,97,98,no,no,review
ev-00441,req-0006,src-01931,Investment activity increased in Canada,DEMO evidence excerpt: investment activity increased in canada based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Microsoft,supply chain,2026-07-31,0.62,69,93,no,no,pass
ev-00442,req-0409,src-00583,Investment activity increased in Canada,DEMO evidence excerpt: investment activity increased in canada based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Hyundai,pricing & demand,2025-04-07,0.89,83,67,yes,yes,pass
ev-00443,req-0294,src-01923,Competitor announced a new partnership in Global,DEMO evidence excerpt: competitor announced a new partnership in global based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Hyundai,risk & exposure,2025-05-06,0.62,74,97,no,yes,review
ev-00444,req-0222,src-01026,Regulatory requirements are tightening in Europe,DEMO evidence excerpt: regulatory requirements are tightening in europe based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,OpenAI,risk & exposure,2025-06-18,0.7,70,83,no,no,review
ev-00445,req-0317,src-00672,Customer behavior is changing in Japan,DEMO evidence excerpt: customer behavior is changing in japan based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Anthropic,partnerships,2024-02-27,0.95,80,57,no,no,pass
ev-00446,req-0269,src-00510,Regulatory requirements are tightening in Southeast Asia,DEMO evidence excerpt: regulatory requirements are tightening in southeast asia based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Tesla,technology adoption,2026-05-20,0.64,94,81,no,yes,pass
ev-00447,req-0261,src-01142,The evidence indicates a potential value-leakage theme in United States,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in united states based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Philips,regulation,2025-09-02,0.93,74,93,no,yes,pass
ev-00448,req-0358,src-00561,Investment activity increased in United States,DEMO evidence excerpt: investment activity increased in united states based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,BMW,risk & exposure,2024-01-13,0.64,97,80,no,yes,review
ev-00449,req-0106,src-00675,The evidence indicates a potential value-leakage theme in United Kingdom,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in united kingdom based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Vestas,risk & exposure,2025-03-03,0.94,63,60,no,yes,review
ev-00450,req-0184,src-01394,Investment activity increased in Canada,DEMO evidence excerpt: investment activity increased in canada based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Honeywell,operational efficiency,2024-05-26,0.63,64,92,no,yes,review
ev-00451,req-0192,src-00066,Demand is shifting toward premium offerings in Global,DEMO evidence excerpt: demand is shifting toward premium offerings in global based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,Toyota,supply chain,2025-01-25,0.61,67,68,no,no,pass
ev-00452,req-0056,src-01296,Market growth is accelerating in Southeast Asia,DEMO evidence excerpt: market growth is accelerating in southeast asia based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,AMD,investment trends,2024-12-12,0.84,70,95,no,no,pass
ev-00453,req-0286,src-00759,Pricing pressure is increasing in Europe,DEMO evidence excerpt: pricing pressure is increasing in europe based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Flipkart,operational efficiency,2026-05-21,0.68,96,60,no,no,pass
ev-00454,req-0471,src-00268,Demand is shifting toward premium offerings in Europe,DEMO evidence excerpt: demand is shifting toward premium offerings in europe based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,TSMC,risk & exposure,2024-10-29,0.89,78,73,yes,no,pass
ev-00455,req-0328,src-00262,The evidence indicates a potential value-leakage theme in India,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in india based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,FedEx,product launches,2024-07-30,0.74,64,63,yes,no,pass
ev-00456,req-0269,src-01747,Investment activity increased in Southeast Asia,DEMO evidence excerpt: investment activity increased in southeast asia based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Tesla,partnerships,2024-07-25,0.64,90,57,no,no,review
ev-00457,req-0197,src-00377,Market growth is accelerating in Europe,DEMO evidence excerpt: market growth is accelerating in europe based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Abbott,operational efficiency,2024-08-31,0.96,60,83,no,no,review
ev-00458,req-0107,src-01917,Working-capital exposure is concentrated in selected segments in Japan,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in japan based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Oracle,value leakage,2025-08-25,0.64,71,70,yes,no,pass
ev-00459,req-0400,src-01054,Demand is shifting toward premium offerings in Australia,DEMO evidence excerpt: demand is shifting toward premium offerings in australia based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,ABB,supply chain,2025-10-14,0.8,74,56,no,yes,pass
ev-00460,req-0246,src-01985,Technology adoption is expanding in Europe,DEMO evidence excerpt: technology adoption is expanding in europe based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Toyota,partnerships,2026-06-14,0.96,68,82,no,no,review
ev-00461,req-0043,src-01738,The evidence indicates a potential value-leakage theme in Europe,DEMO evidence excerpt: the evidence indicates a potential value-leakage theme in europe based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,OpenAI,customer behavior,2025-07-04,0.93,77,77,yes,yes,pass
ev-00462,req-0373,src-01301,Working-capital exposure is concentrated in selected segments in Australia,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in australia based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Adani Green,risk & exposure,2024-08-29,0.6,64,91,yes,no,pass
ev-00463,req-0411,src-01989,Working-capital exposure is concentrated in selected segments in Japan,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in japan based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,OpenAI,partnerships,2024-11-14,0.64,91,60,no,no,pass
ev-00464,req-0235,src-00904,Regulatory requirements are tightening in Middle East,DEMO evidence excerpt: regulatory requirements are tightening in middle east based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Abbott,partnerships,2025-12-06,0.74,79,57,no,no,pass
ev-00465,req-0124,src-00496,Investment activity increased in Canada,DEMO evidence excerpt: investment activity increased in canada based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Oracle,risk & exposure,2024-09-17,0.8,82,76,yes,no,pass
ev-00466,req-0082,src-00374,Competitor announced a new partnership in Canada,DEMO evidence excerpt: competitor announced a new partnership in canada based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Honeywell,value leakage,2026-08-11,0.88,72,88,no,no,pass
ev-00467,req-0081,src-00408,Operational efficiency is emerging as a value lever in Global,DEMO evidence excerpt: operational efficiency is emerging as a value lever in global based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,Meta,pricing & demand,2024-12-11,0.8,78,60,no,no,pass
ev-00468,req-0120,src-01323,Customer behavior is changing in Japan,DEMO evidence excerpt: customer behavior is changing in japan based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Shopify,technology adoption,2024-11-01,0.9,90,58,no,yes,pass
ev-00469,req-0308,src-01502,Supply constraints remain a monitored risk in India,DEMO evidence excerpt: supply constraints remain a monitored risk in india based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,OpenAI,market size,2025-02-22,0.67,91,56,no,no,pass
ev-00470,req-0222,src-01418,Competitor announced a new partnership in Europe,DEMO evidence excerpt: competitor announced a new partnership in europe based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Meta,market growth,2026-03-29,0.7,87,87,no,yes,review
ev-00471,req-0288,src-01631,Supply constraints remain a monitored risk in India,DEMO evidence excerpt: supply constraints remain a monitored risk in india based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Google,market size,2025-05-09,0.59,78,65,no,no,review
ev-00472,req-0398,src-01091,Working-capital exposure is concentrated in selected segments in Global,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in global based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Rockwell Automation,customer behavior,2025-09-25,0.65,77,73,no,no,pass
