request_id,query,market,geography,timeframe,competitors,output_format,report_depth,status
req-0173,Evaluate consumer goods market entry and growth opportunities in United Kingdom,Consumer Goods,United Kingdom,2023-2026,"Nestle, Unilever, P&G, PepsiCo, Coca-Cola",proposal,deep dive,pending
req-0174,Evaluate healthcare technology market entry and growth opportunities in India,Healthcare Technology,India,2024-2026,"Medtronic, Abbott",proposal,standard,completed
req-0175,"Monitor generative ai trends, risks and strategic implications for United Kingdom",Generative AI,United Kingdom,2024-2026,"Microsoft, OpenAI, Meta, Anthropic",internal review,detailed,completed
req-0176,Analyze generative ai competitive landscape and operational efficiency in Southeast Asia,Generative AI,Southeast Asia,2022-2026,"Anthropic, Google",internal review,standard,running
req-0177,Evaluate e-commerce market entry and growth opportunities in Global,E-commerce,Global,2022-2026,"Shopify, Walmart, Alibaba",strategy brief,detailed,completed
req-0178,Assess cloud computing risk & exposure in United Kingdom from 2024 to 2026,Cloud Computing,United Kingdom,2024-2026,"Microsoft Azure, Google Cloud",internal review,standard,completed
req-0179,Assess cybersecurity market growth in Global from 2024 to 2026,Cybersecurity,Global,2024-2026,"CrowdStrike, Palo Alto Networks, Microsoft, Cisco, Fortinet",internal review,detailed,completed
req-0180,Evaluate fintech market entry and growth opportunities in Canada,FinTech,Canada,2025-2026,"Razorpay, PayPal",proposal,standard,pending
req-0181,"Monitor generative ai trends, risks and strategic implications for Europe",Generative AI,Europe,2022-2026,"Anthropic, OpenAI",workshop,standard,completed
req-0182,Analyze healthcare technology competitive landscape and risk & exposure in India,Healthcare Technology,India,2023-2026,"GE HealthCare, Siemens Healthineers, Medtronic, Abbott, Philips",strategy brief,standard,completed
req-0183,Assess fintech product launches in Southeast Asia from 2024 to 2026,FinTech,Southeast Asia,2024-2026,"PayPal, PhonePe",workshop,deep dive,completed
req-0184,"Monitor industrial automation trends, risks and strategic implications for Canada",Industrial Automation,Canada,2022-2026,"Siemens, Rockwell Automation",internal review,standard,completed
req-0185,Assess renewable energy market growth in Australia from 2024 to 2026,Renewable Energy,Australia,2024-2026,"Vestas, Adani Green",strategy brief,deep dive,completed
req-0186,Assess automotive value leakage in India from 2024 to 2026,Automotive,India,2024-2026,"Volkswagen, BMW, Toyota, Hyundai",internal review,deep dive,running
req-0187,Assess fintech operational efficiency in Australia from 2023 to 2026,FinTech,Australia,2023-2026,"PhonePe, PayPal, Stripe, Razorpay",internal review,detailed,completed
req-0188,Evaluate consumer goods market entry and growth opportunities in United Kingdom,Consumer Goods,United Kingdom,2025-2026,"Unilever, Nestle",strategy brief,standard,completed
req-0189,Assess generative ai competitor movement in Australia from 2025 to 2026,Generative AI,Australia,2025-2026,"Meta, Microsoft, Anthropic",internal review,deep dive,completed
req-0190,Assess automotive market size in Southeast Asia from 2023 to 2026,Automotive,Southeast Asia,2023-2026,"Toyota, Volkswagen, BMW",proposal,deep dive,completed
req-0191,Analyze banking competitive landscape and value leakage in Japan,Banking,Japan,2022-2026,"JPMorgan Chase, ICICI Bank, HDFC Bank, HSBC, DBS",internal review,detailed,completed
req-0192,Assess automotive technology adoption in Global from 2024 to 2026,Automotive,Global,2024-2026,"Hyundai, Toyota, Volkswagen",strategy brief,deep dive,running
req-0193,Analyze generative ai competitive landscape and market growth in Australia,Generative AI,Australia,2025-2026,"Microsoft, Anthropic, Meta, OpenAI, Google",internal review,standard,completed
req-0194,"Monitor cloud computing trends, risks and strategic implications for India",Cloud Computing,India,2023-2026,"Microsoft Azure, AWS",internal review,deep dive,pending
req-0195,Assess cloud computing risk & exposure in Global from 2024 to 2026,Cloud Computing,Global,2024-2026,"IBM, Google Cloud, Microsoft Azure, AWS",strategy brief,detailed,pending
req-0196,Analyze healthcare technology competitive landscape and product launches in Southeast Asia,Healthcare Technology,Southeast Asia,2022-2026,"GE HealthCare, Medtronic, Philips",strategy brief,deep dive,completed
req-0197,"Monitor healthcare technology trends, risks and strategic implications for Europe",Healthcare Technology,Europe,2025-2026,"GE HealthCare, Medtronic, Philips, Siemens Healthineers",workshop,detailed,pending
req-0198,Assess consumer goods market growth in Japan from 2022 to 2026,Consumer Goods,Japan,2022-2026,"Nestle, P&G, Unilever, Coca-Cola, PepsiCo",workshop,detailed,running
req-0199,Analyze electric vehicles competitive landscape and competitor movement in Southeast Asia,Electric Vehicles,Southeast Asia,2024-2026,"Mahindra, Tata Motors, Hyundai",internal review,detailed,running
req-0200,Evaluate industrial automation market entry and growth opportunities in Australia,Industrial Automation,Australia,2024-2026,"Honeywell, ABB, Schneider Electric, Rockwell Automation, Siemens",proposal,detailed,completed
req-0201,Analyze generative ai competitive landscape and supply chain in Australia,Generative AI,Australia,2023-2026,"Google, OpenAI, Meta",proposal,detailed,pending
req-0202,"Monitor fintech trends, risks and strategic implications for Global",FinTech,Global,2025-2026,"PhonePe, PayPal, Adyen",strategy brief,standard,completed
req-0203,Analyze e-commerce competitive landscape and technology adoption in Middle East,E-commerce,Middle East,2025-2026,"Flipkart, Walmart, Alibaba, Amazon, Shopify",internal review,deep dive,pending
req-0204,Analyze renewable energy competitive landscape and technology adoption in Global,Renewable Energy,Global,2022-2026,"Vestas, Siemens Gamesa, Adani Green, ReNew",internal review,standard,completed
req-0205,Analyze consumer goods competitive landscape and regulation in Global,Consumer Goods,Global,2023-2026,"Nestle, P&G, Coca-Cola, PepsiCo, Unilever",internal review,deep dive,pending
req-0206,Assess cybersecurity competitor movement in Japan from 2025 to 2026,Cybersecurity,Japan,2025-2026,"Cisco, Palo Alto Networks",internal review,deep dive,pending
req-0207,Assess semiconductors value leakage in Europe from 2022 to 2026,Semiconductors,Europe,2022-2026,"TSMC, Intel, NVIDIA",proposal,detailed,running
req-0208,Assess semiconductors market growth in Japan from 2023 to 2026,Semiconductors,Japan,2023-2026,"NVIDIA, TSMC",internal review,detailed,pending
req-0209,Analyze consumer goods competitive landscape and partnerships in Australia,Consumer Goods,Australia,2023-2026,"Unilever, Nestle",workshop,deep dive,pending
req-0210,"Monitor banking trends, risks and strategic implications for Middle East",Banking,Middle East,2022-2026,"ICICI Bank, JPMorgan Chase, HSBC, HDFC Bank, DBS",strategy brief,deep dive,pending
req-0211,"Monitor renewable energy trends, risks and strategic implications for Europe",Renewable Energy,Europe,2023-2026,"Vestas, Siemens Gamesa, NTPC",internal review,deep dive,running
req-0212,Assess banking working capital in Japan from 2022 to 2026,Banking,Japan,2022-2026,"ICICI Bank, DBS, HSBC, JPMorgan Chase",strategy brief,standard,pending
req-0213,Assess logistics partnerships in Global from 2022 to 2026,Logistics,Global,2022-2026,"DHL, DP World, FedEx",strategy brief,standard,completed
req-0214,"Monitor logistics trends, risks and strategic implications for Middle East",Logistics,Middle East,2024-2026,"DP World, FedEx, UPS, DHL",strategy brief,standard,completed
req-0215,"Monitor industrial automation trends, risks and strategic implications for Middle East",Industrial Automation,Middle East,2024-2026,"Schneider Electric, Siemens, ABB, Honeywell",proposal,detailed,pending
req-0216,Evaluate telecom market entry and growth opportunities in Global,Telecom,Global,2025-2026,"Vodafone Idea, Bharti Airtel, AT&T, Verizon, Reliance Jio",proposal,detailed,running
req-0217,Evaluate banking market entry and growth opportunities in Australia,Banking,Australia,2023-2026,"HDFC Bank, ICICI Bank, HSBC",workshop,deep dive,completed
req-0218,"Monitor healthcare technology trends, risks and strategic implications for Global",Healthcare Technology,Global,2023-2026,"Philips, Medtronic, GE HealthCare, Siemens Healthineers, Abbott",strategy brief,standard,completed
req-0219,Evaluate telecom market entry and growth opportunities in United States,Telecom,United States,2024-2026,"AT&T, Bharti Airtel, Verizon, Vodafone Idea, Reliance Jio",strategy brief,detailed,running
req-0220,Evaluate electric vehicles market entry and growth opportunities in Canada,Electric Vehicles,Canada,2024-2026,"Mahindra, Hyundai, BYD",proposal,deep dive,running
req-0221,Analyze telecom competitive landscape and working capital in United Kingdom,Telecom,United Kingdom,2025-2026,"AT&T, Vodafone Idea, Bharti Airtel",internal review,deep dive,completed
req-0222,Evaluate generative ai market entry and growth opportunities in Europe,Generative AI,Europe,2025-2026,"OpenAI, Google, Anthropic, Meta, Microsoft",proposal,detailed,pending
req-0223,"Monitor cybersecurity trends, risks and strategic implications for United Kingdom",Cybersecurity,United Kingdom,2024-2026,"Fortinet, Microsoft",proposal,detailed,running
req-0224,Evaluate e-commerce market entry and growth opportunities in Canada,E-commerce,Canada,2024-2026,"Alibaba, Amazon, Walmart",strategy brief,detailed,running
req-0225,Analyze cybersecurity competitive landscape and working capital in India,Cybersecurity,India,2022-2026,"Palo Alto Networks, Cisco, Fortinet, Microsoft",proposal,standard,pending
req-0226,Evaluate cloud computing market entry and growth opportunities in Middle East,Cloud Computing,Middle East,2025-2026,"Google Cloud, Microsoft Azure, AWS, IBM, Oracle",proposal,detailed,completed
req-0227,Analyze renewable energy competitive landscape and market growth in United States,Renewable Energy,United States,2025-2026,"Siemens Gamesa, ReNew, Adani Green",workshop,standard,completed
req-0228,Assess semiconductors risk & exposure in India from 2024 to 2026,Semiconductors,India,2024-2026,"Intel, AMD, Samsung, NVIDIA, TSMC",internal review,standard,completed
req-0229,Assess banking customer behavior in Japan from 2023 to 2026,Banking,Japan,2023-2026,"DBS, HDFC Bank",proposal,standard,pending
req-0230,"Monitor electric vehicles trends, risks and strategic implications for United States",Electric Vehicles,United States,2023-2026,"MG Motor India, Tata Motors, Mahindra",internal review,detailed,completed
req-0231,Assess consumer goods value leakage in Global from 2023 to 2026,Consumer Goods,Global,2023-2026,"Coca-Cola, Unilever",proposal,standard,completed
req-0232,"Monitor fintech trends, risks and strategic implications for India",FinTech,India,2025-2026,"Adyen, PhonePe",internal review,deep dive,running
req-0233,"Monitor cloud computing trends, risks and strategic implications for Europe",Cloud Computing,Europe,2022-2026,"Google Cloud, Microsoft Azure",internal review,deep dive,running
req-0234,Analyze semiconductors competitive landscape and competitor movement in Canada,Semiconductors,Canada,2023-2026,"Samsung, Intel, TSMC",strategy brief,deep dive,pending
req-0235,Assess healthcare technology partnerships in Middle East from 2023 to 2026,Healthcare Technology,Middle East,2023-2026,"GE HealthCare, Siemens Healthineers, Medtronic, Philips, Abbott",strategy brief,detailed,pending
req-0236,"Monitor cloud computing trends, risks and strategic implications for Japan",Cloud Computing,Japan,2025-2026,"Microsoft Azure, IBM, AWS",workshop,detailed,completed
req-0237,Evaluate automotive market entry and growth opportunities in United Kingdom,Automotive,United Kingdom,2025-2026,"BMW, Volkswagen",workshop,deep dive,running
req-0238,Evaluate electric vehicles market entry and growth opportunities in Middle East,Electric Vehicles,Middle East,2022-2026,"Tata Motors, MG Motor India, Mahindra, BYD, Hyundai",proposal,standard,completed
req-0239,Assess e-commerce market size in Global from 2024 to 2026,E-commerce,Global,2024-2026,"Flipkart, Shopify, Walmart, Amazon",proposal,detailed,pending
req-0240,"Monitor e-commerce trends, risks and strategic implications for Global",E-commerce,Global,2023-2026,"Walmart, Amazon, Alibaba",workshop,detailed,running
req-0241,Analyze electric vehicles competitive landscape and partnerships in Europe,Electric Vehicles,Europe,2025-2026,"Mahindra, Hyundai, MG Motor India, BYD",workshop,standard,completed
req-0242,"Monitor industrial automation trends, risks and strategic implications for Canada",Industrial Automation,Canada,2024-2026,"Schneider Electric, Siemens, ABB, Rockwell Automation",internal review,standard,completed
req-0243,Evaluate healthcare technology market entry and growth opportunities in United States,Healthcare Technology,United States,2025-2026,"Philips, GE HealthCare, Siemens Healthineers, Abbott",proposal,deep dive,completed
req-0244,"Monitor cloud computing trends, risks and strategic implications for Southeast Asia",Cloud Computing,Southeast Asia,2024-2026,"AWS, Microsoft Azure, IBM, Google Cloud, Oracle",strategy brief,detailed,completed
req-0245,"Monitor automotive trends, risks and strategic implications for Australia",Automotive,Australia,2024-2026,"Hyundai, Volkswagen, BMW",proposal,deep dive,completed
req-0246,Assess automotive risk & exposure in Europe from 2022 to 2026,Automotive,Europe,2022-2026,"Toyota, Tesla, BMW",workshop,detailed,completed
req-0247,Analyze cloud computing competitive landscape and competitor movement in Australia,Cloud Computing,Australia,2025-2026,"Google Cloud, AWS, Oracle, IBM, Microsoft Azure",strategy brief,standard,running
req-0248,"Monitor logistics trends, risks and strategic implications for Global",Logistics,Global,2023-2026,"DHL, FedEx",strategy brief,deep dive,completed
req-0249,Assess generative ai competitor movement in India from 2025 to 2026,Generative AI,India,2025-2026,"OpenAI, Google, Meta, Anthropic",workshop,standard,completed
req-0250,Analyze semiconductors competitive landscape and supply chain in Japan,Semiconductors,Japan,2024-2026,"Intel, AMD, NVIDIA, TSMC",strategy brief,deep dive,completed
req-0251,Evaluate banking market entry and growth opportunities in Australia,Banking,Australia,2022-2026,"HDFC Bank, HSBC, ICICI Bank, DBS, JPMorgan Chase",workshop,standard,completed
req-0252,Assess healthcare technology operational efficiency in Europe from 2024 to 2026,Healthcare Technology,Europe,2024-2026,"GE HealthCare, Philips",strategy brief,deep dive,completed
req-0253,Evaluate fintech market entry and growth opportunities in Southeast Asia,FinTech,Southeast Asia,2022-2026,"Stripe, PayPal",internal review,deep dive,completed
req-0254,Evaluate telecom market entry and growth opportunities in Canada,Telecom,Canada,2023-2026,"Bharti Airtel, Reliance Jio, Verizon, AT&T, Vodafone Idea",proposal,deep dive,completed
req-0255,"Monitor healthcare technology trends, risks and strategic implications for Middle East",Healthcare Technology,Middle East,2023-2026,"Siemens Healthineers, Philips",proposal,deep dive,pending
req-0256,Analyze automotive competitive landscape and risk & exposure in Southeast Asia,Automotive,Southeast Asia,2024-2026,"Hyundai, Volkswagen, BMW, Toyota",strategy brief,detailed,pending
req-0257,Assess industrial automation working capital in Canada from 2023 to 2026,Industrial Automation,Canada,2023-2026,"Schneider Electric, Rockwell Automation, Honeywell",workshop,standard,pending
req-0258,Evaluate electric vehicles market entry and growth opportunities in Europe,Electric Vehicles,Europe,2022-2026,"BYD, MG Motor India, Hyundai",workshop,deep dive,running
req-0259,Evaluate automotive market entry and growth opportunities in United Kingdom,Automotive,United Kingdom,2025-2026,"Hyundai, Toyota, Volkswagen, BMW",workshop,standard,completed
req-0260,Analyze cloud computing competitive landscape and competitor movement in United States,Cloud Computing,United States,2023-2026,"Oracle, Google Cloud, IBM, AWS",strategy brief,deep dive,pending
req-0261,Assess healthcare technology regulation in United States from 2024 to 2026,Healthcare Technology,United States,2024-2026,"Abbott, Medtronic, Siemens Healthineers, Philips, GE HealthCare",workshop,detailed,completed
req-0262,"Monitor fintech trends, risks and strategic implications for United Kingdom",FinTech,United Kingdom,2022-2026,"PhonePe, Razorpay, Adyen",proposal,detailed,pending
req-0263,"Monitor logistics trends, risks and strategic implications for Europe",Logistics,Europe,2025-2026,"DHL, FedEx",workshop,detailed,running
req-0264,Assess cloud computing risk & exposure in United Kingdom from 2023 to 2026,Cloud Computing,United Kingdom,2023-2026,"IBM, Microsoft Azure, AWS, Google Cloud, Oracle",strategy brief,standard,completed
req-0265,Assess semiconductors investment trends in Global from 2023 to 2026,Semiconductors,Global,2023-2026,"Samsung, AMD, TSMC",internal review,standard,pending
req-0266,Evaluate logistics market entry and growth opportunities in Europe,Logistics,Europe,2024-2026,"DHL, Maersk, UPS",internal review,deep dive,completed
req-0267,Analyze fintech competitive landscape and competitor movement in Japan,FinTech,Japan,2023-2026,"Adyen, Stripe, PayPal",internal review,detailed,running
req-0268,"Monitor electric vehicles trends, risks and strategic implications for India",Electric Vehicles,India,2024-2026,"MG Motor India, BYD, Mahindra, Tata Motors, Hyundai",internal review,standard,completed
req-0269,Analyze automotive competitive landscape and investment trends in Southeast Asia,Automotive,Southeast Asia,2024-2026,"Toyota, Hyundai, Volkswagen, Tesla",strategy brief,deep dive,completed
req-0270,Assess banking operational efficiency in Southeast Asia from 2023 to 2026,Banking,Southeast Asia,2023-2026,"JPMorgan Chase, DBS, HDFC Bank",proposal,deep dive,running
req-0271,Evaluate electric vehicles market entry and growth opportunities in Global,Electric Vehicles,Global,2024-2026,"BYD, Tata Motors, MG Motor India, Mahindra",internal review,detailed,pending
req-0272,Analyze fintech competitive landscape and regulation in Japan,FinTech,Japan,2025-2026,"Stripe, PhonePe",internal review,standard,pending
req-0273,"Monitor logistics trends, risks and strategic implications for Middle East",Logistics,Middle East,2024-2026,"DHL, DP World, UPS, FedEx, Maersk",internal review,detailed,running
req-0274,"Monitor consumer goods trends, risks and strategic implications for Japan",Consumer Goods,Japan,2022-2026,"Nestle, P&G",strategy brief,standard,running
req-0275,Assess semiconductors supply chain in Middle East from 2023 to 2026,Semiconductors,Middle East,2023-2026,"Intel, NVIDIA, TSMC, AMD",strategy brief,detailed,completed
req-0276,Evaluate e-commerce market entry and growth opportunities in Southeast Asia,E-commerce,Southeast Asia,2025-2026,"Alibaba, Shopify",internal review,standard,running
req-0277,Assess fintech supply chain in Japan from 2024 to 2026,FinTech,Japan,2024-2026,"PayPal, PhonePe, Adyen, Razorpay, Stripe",workshop,standard,running
req-0278,Evaluate automotive market entry and growth opportunities in Canada,Automotive,Canada,2022-2026,"Tesla, Toyota, BMW",strategy brief,deep dive,pending
req-0279,"Monitor fintech trends, risks and strategic implications for United States",FinTech,United States,2022-2026,"PhonePe, PayPal, Stripe",internal review,standard,completed
req-0280,Assess fintech regulation in Middle East from 2022 to 2026,FinTech,Middle East,2022-2026,"PhonePe, Razorpay, PayPal, Adyen, Stripe",strategy brief,deep dive,completed
req-0281,"Monitor cybersecurity trends, risks and strategic implications for Middle East",Cybersecurity,Middle East,2025-2026,"Fortinet, Cisco, Palo Alto Networks, CrowdStrike, Microsoft",internal review,detailed,completed
req-0282,"Monitor cloud computing trends, risks and strategic implications for India",Cloud Computing,India,2022-2026,"Microsoft Azure, Google Cloud, AWS, IBM",workshop,standard,completed
req-0283,Evaluate electric vehicles market entry and growth opportunities in Australia,Electric Vehicles,Australia,2022-2026,"Mahindra, BYD, MG Motor India, Tata Motors",proposal,standard,completed
req-0284,"Monitor telecom trends, risks and strategic implications for United Kingdom",Telecom,United Kingdom,2024-2026,"AT&T, Reliance Jio, Verizon, Vodafone Idea",internal review,detailed,completed
req-0285,Analyze logistics competitive landscape and market size in Global,Logistics,Global,2022-2026,"UPS, Maersk, DP World",workshop,detailed,completed
req-0286,Analyze e-commerce competitive landscape and customer behavior in Europe,E-commerce,Europe,2023-2026,"Walmart, Flipkart, Amazon, Alibaba",internal review,detailed,running
req-0287,Assess renewable energy operational efficiency in Japan from 2024 to 2026,Renewable Energy,Japan,2024-2026,"Adani Green, NTPC, Vestas, Siemens Gamesa, ReNew",proposal,detailed,completed
req-0288,Assess generative ai pricing & demand in India from 2025 to 2026,Generative AI,India,2025-2026,"Meta, Anthropic",strategy brief,standard,completed
req-0289,"Monitor e-commerce trends, risks and strategic implications for Japan",E-commerce,Japan,2025-2026,"Alibaba, Walmart, Flipkart, Shopify, Amazon",strategy brief,deep dive,completed
req-0290,Analyze banking competitive landscape and value leakage in Middle East,Banking,Middle East,2025-2026,"JPMorgan Chase, DBS",proposal,standard,completed
req-0291,Analyze telecom competitive landscape and supply chain in Japan,Telecom,Japan,2024-2026,"AT&T, Verizon, Reliance Jio, Bharti Airtel, Vodafone Idea",workshop,detailed,completed
req-0292,"Monitor consumer goods trends, risks and strategic implications for United States",Consumer Goods,United States,2024-2026,"Nestle, Coca-Cola, PepsiCo, P&G, Unilever",workshop,standard,completed
req-0293,Assess e-commerce competitor movement in Southeast Asia from 2024 to 2026,E-commerce,Southeast Asia,2024-2026,"Alibaba, Shopify, Flipkart, Walmart",workshop,deep dive,running
req-0294,Assess electric vehicles partnerships in Global from 2024 to 2026,Electric Vehicles,Global,2024-2026,"Mahindra, Tata Motors, Hyundai",strategy brief,standard,completed
req-0295,Evaluate logistics market entry and growth opportunities in Europe,Logistics,Europe,2022-2026,"FedEx, Maersk, UPS",workshop,detailed,completed
req-0296,"Monitor banking trends, risks and strategic implications for India",Banking,India,2025-2026,"ICICI Bank, HSBC",workshop,detailed,running
req-0297,Analyze banking competitive landscape and operational efficiency in Australia,Banking,Australia,2025-2026,"DBS, ICICI Bank, HDFC Bank, HSBC, JPMorgan Chase",workshop,detailed,completed
req-0298,Assess automotive customer behavior in United Kingdom from 2024 to 2026,Automotive,United Kingdom,2024-2026,"Hyundai, BMW, Toyota, Tesla",strategy brief,deep dive,completed
req-0299,Evaluate consumer goods market entry and growth opportunities in Middle East,Consumer Goods,Middle East,2023-2026,"Nestle, Coca-Cola, PepsiCo",workshop,detailed,running
req-0300,Analyze fintech competitive landscape and product launches in Global,FinTech,Global,2024-2026,"Stripe, PhonePe, PayPal",strategy brief,standard,running
req-0301,Analyze cloud computing competitive landscape and product launches in Japan,Cloud Computing,Japan,2022-2026,"IBM, Google Cloud",workshop,detailed,completed
req-0302,Assess semiconductors technology adoption in United Kingdom from 2025 to 2026,Semiconductors,United Kingdom,2025-2026,"Intel, TSMC, NVIDIA, AMD",internal review,deep dive,running
req-0303,Assess banking regulation in Europe from 2022 to 2026,Banking,Europe,2022-2026,"ICICI Bank, JPMorgan Chase, DBS",strategy brief,detailed,completed
req-0304,"Monitor fintech trends, risks and strategic implications for Middle East",FinTech,Middle East,2024-2026,"PayPal, Razorpay, Stripe, Adyen",proposal,deep dive,pending
req-0305,Analyze industrial automation competitive landscape and customer behavior in Canada,Industrial Automation,Canada,2024-2026,"ABB, Honeywell",strategy brief,deep dive,completed
req-0306,Assess consumer goods technology adoption in Southeast Asia from 2023 to 2026,Consumer Goods,Southeast Asia,2023-2026,"Coca-Cola, Nestle",strategy brief,detailed,running
req-0307,Assess healthcare technology regulation in Global from 2023 to 2026,Healthcare Technology,Global,2023-2026,"Abbott, Siemens Healthineers, GE HealthCare, Philips",strategy brief,deep dive,completed
req-0308,Analyze generative ai competitive landscape and regulation in India,Generative AI,India,2024-2026,"OpenAI, Meta, Anthropic",proposal,deep dive,pending
req-0309,"Monitor logistics trends, risks and strategic implications for Southeast Asia",Logistics,Southeast Asia,2022-2026,"DP World, UPS",workshop,deep dive,completed
req-0310,Evaluate industrial automation market entry and growth opportunities in Europe,Industrial Automation,Europe,2024-2026,"Honeywell, Schneider Electric, Siemens, Rockwell Automation",strategy brief,deep dive,running
req-0311,Assess telecom product launches in Middle East from 2024 to 2026,Telecom,Middle East,2024-2026,"Vodafone Idea, Bharti Airtel, AT&T, Reliance Jio, Verizon",proposal,deep dive,pending
req-0312,Assess electric vehicles technology adoption in Australia from 2023 to 2026,Electric Vehicles,Australia,2023-2026,"BYD, Mahindra, Hyundai",strategy brief,deep dive,completed
req-0313,Analyze consumer goods competitive landscape and pricing & demand in United Kingdom,Consumer Goods,United Kingdom,2022-2026,"Nestle, Coca-Cola, PepsiCo, Unilever, P&G",internal review,deep dive,running
req-0314,Assess e-commerce partnerships in Global from 2022 to 2026,E-commerce,Global,2022-2026,"Amazon, Alibaba",proposal,deep dive,pending
req-0315,"Monitor consumer goods trends, risks and strategic implications for Middle East",Consumer Goods,Middle East,2025-2026,"P&G, Unilever, PepsiCo",proposal,deep dive,completed
req-0316,Analyze consumer goods competitive landscape and product launches in Middle East,Consumer Goods,Middle East,2024-2026,"Unilever, P&G",proposal,standard,pending
req-0317,Analyze generative ai competitive landscape and operational efficiency in Japan,Generative AI,Japan,2024-2026,"Anthropic, Google, OpenAI, Meta",workshop,detailed,pending
req-0318,Evaluate consumer goods market entry and growth opportunities in United Kingdom,Consumer Goods,United Kingdom,2024-2026,"Nestle, PepsiCo",internal review,deep dive,completed
req-0319,Evaluate cloud computing market entry and growth opportunities in Japan,Cloud Computing,Japan,2025-2026,"Oracle, Microsoft Azure, AWS, IBM",internal review,standard,completed
req-0320,Analyze telecom competitive landscape and risk & exposure in United Kingdom,Telecom,United Kingdom,2024-2026,"Reliance Jio, Verizon, Vodafone Idea, AT&T, Bharti Airtel",proposal,standard,pending
req-0321,"Monitor generative ai trends, risks and strategic implications for Canada",Generative AI,Canada,2022-2026,"OpenAI, Microsoft, Anthropic",internal review,detailed,pending
req-0322,Assess banking supply chain in Global from 2022 to 2026,Banking,Global,2022-2026,"DBS, ICICI Bank, HDFC Bank, HSBC, JPMorgan Chase",internal review,deep dive,running
req-0323,Analyze automotive competitive landscape and risk & exposure in United Kingdom,Automotive,United Kingdom,2022-2026,"Toyota, BMW",internal review,standard,completed
req-0324,Assess renewable energy market size in United Kingdom from 2023 to 2026,Renewable Energy,United Kingdom,2023-2026,"Siemens Gamesa, Vestas",strategy brief,detailed,completed
req-0325,Assess cybersecurity technology adoption in India from 2023 to 2026,Cybersecurity,India,2023-2026,"Microsoft, CrowdStrike, Cisco",proposal,standard,completed
req-0326,Assess cybersecurity operational efficiency in Australia from 2025 to 2026,Cybersecurity,Australia,2025-2026,"Palo Alto Networks, CrowdStrike, Fortinet",strategy brief,standard,completed
req-0327,"Monitor cybersecurity trends, risks and strategic implications for India",Cybersecurity,India,2022-2026,"Palo Alto Networks, Fortinet, Cisco, CrowdStrike, Microsoft",internal review,standard,running
req-0328,"Monitor logistics trends, risks and strategic implications for India",Logistics,India,2023-2026,"Maersk, FedEx, DHL, UPS, DP World",proposal,deep dive,running
req-0329,Evaluate healthcare technology market entry and growth opportunities in Europe,Healthcare Technology,Europe,2024-2026,"Siemens Healthineers, GE HealthCare, Philips, Abbott",proposal,deep dive,completed
req-0330,Evaluate electric vehicles market entry and growth opportunities in Middle East,Electric Vehicles,Middle East,2025-2026,"MG Motor India, Tata Motors, Mahindra",proposal,deep dive,completed
req-0331,Analyze industrial automation competitive landscape and value leakage in United Kingdom,Industrial Automation,United Kingdom,2024-2026,"Rockwell Automation, Schneider Electric, Honeywell, Siemens, ABB",internal review,detailed,pending
req-0332,"Monitor banking trends, risks and strategic implications for India",Banking,India,2023-2026,"HSBC, DBS",workshop,deep dive,running
req-0333,Evaluate semiconductors market entry and growth opportunities in Global,Semiconductors,Global,2023-2026,"TSMC, Samsung, NVIDIA",workshop,detailed,completed
req-0334,"Monitor renewable energy trends, risks and strategic implications for Middle East",Renewable Energy,Middle East,2023-2026,"ReNew, Vestas, NTPC",internal review,detailed,running
req-0335,"Monitor cybersecurity trends, risks and strategic implications for India",Cybersecurity,India,2024-2026,"Microsoft, Cisco, Palo Alto Networks, CrowdStrike",workshop,deep dive,completed
req-0336,"Monitor generative ai trends, risks and strategic implications for Global",Generative AI,Global,2023-2026,"Anthropic, OpenAI",proposal,deep dive,completed
req-0337,Evaluate generative ai market entry and growth opportunities in Canada,Generative AI,Canada,2022-2026,"Microsoft, OpenAI, Google",internal review,deep dive,pending
req-0338,"Monitor e-commerce trends, risks and strategic implications for Canada",E-commerce,Canada,2022-2026,"Shopify, Amazon, Flipkart",proposal,detailed,completed
req-0339,Evaluate automotive market entry and growth opportunities in Southeast Asia,Automotive,Southeast Asia,2023-2026,"Hyundai, BMW, Toyota, Tesla",strategy brief,deep dive,running
req-0340,Evaluate consumer goods market entry and growth opportunities in Southeast Asia,Consumer Goods,Southeast Asia,2025-2026,"PepsiCo, P&G",workshop,standard,running
req-0341,Evaluate telecom market entry and growth opportunities in Japan,Telecom,Japan,2022-2026,"Verizon, Bharti Airtel, Vodafone Idea",proposal,standard,completed
req-0342,"Monitor fintech trends, risks and strategic implications for Japan",FinTech,Japan,2022-2026,"Stripe, PayPal, PhonePe, Razorpay, Adyen",workshop,detailed,completed
req-0343,"Monitor cloud computing trends, risks and strategic implications for Middle East",Cloud Computing,Middle East,2025-2026,"Microsoft Azure, AWS",proposal,deep dive,completed
req-0344,Assess industrial automation regulation in Southeast Asia from 2023 to 2026,Industrial Automation,Southeast Asia,2023-2026,"Rockwell Automation, Honeywell",strategy brief,deep dive,running
req-0345,Analyze semiconductors competitive landscape and market growth in United States,Semiconductors,United States,2022-2026,"Samsung, AMD",strategy brief,standard,running
req-0346,Evaluate semiconductors market entry and growth opportunities in Australia,Semiconductors,Australia,2024-2026,"AMD, TSMC, Samsung",strategy brief,standard,completed
